Manager,Institution,Country,Vehicle,Amount (US$m),Year,Evidence type,In the 353-name universe,Universe name,Universe tier,Universe priority (1-5),Universe decision-maker,Universe consultant,Source,Read on
AlpInvest Partners (Carlyle),Alecta Tjanstepension Omsesidigt,Sweden,Alpinvest Secondaries Fund VIII,,2025,public holdings schedule,No,,,,,,https://www.alecta.se/media/4f5izokk/alectas-innehav-2025.pdf,2026-09-19
AlpInvest Partners (Carlyle),Laegernes Pension,Denmark,not named in source,,2025,public holdings schedule,No,,,,,,https://www.lpb.dk/media/482c0c16-e406-4eaa-9824-f0f577ea34f5/swLJnQ/Dokumenter/Bank/Investering/B%C3%A6redygtighed/Kapitalforvaltere.pdf,2026-09-19
AlpInvest Partners (Carlyle),Northwestern Mutual,United States,"Northwestern Mutual Capital Private Equity Partners, LP",,,SEC Form D,Yes,Northwestern Mutual,2,3,,,https://reports.adviserinfo.sec.gov/reports/ADV/328458/PDF/328458.pdf,2026-09-19
AlpInvest Partners (Carlyle),State of Michigan (the Michigan entity is not named in the filing),United States,"AlpInvest/Michigan Investment Fund, L.P.",,,SEC Form D,Yes,Michigan State University Endowment,2,4,,,https://reports.adviserinfo.sec.gov/reports/ADV/328458/PDF/328458.pdf,2026-09-19
AlpInvest Partners (Carlyle),"Stichting Pensioenfonds Zorg en Welzijn (PFZW), managed by PGGM",Netherlands,AlpInvest Partners B.V. fund-of-funds mandate,,2005,public holdings schedule,Yes,PGGM (for PFZW),2,4,,PGGM,https://www.pfzw.nl/content/dam/pfzw/web/transparantielijsten/transparantielijsten-30-juni-2026/Private_Equity_2026Q2.json,2026-09-19
Alternative Investment Capital Limited (AIC),Daido Life Insurance Company,Japan,not named in source,,2002,manager press release,No,,,,,,https://www.aicapital.co.jp/en/history.html,2026-09-19
Alternative Investment Capital Limited (AIC),Development Bank of Japan (DBJ),Japan,"AIC Asia Opportunity Fund, L.P.",,2011,manager press release,No,,,,,,https://www.dbj.jp/topics/dbj_news/2011/html/0000006809.html,2026-09-19
Alternative Investment Capital Limited (AIC),Government Pension Investment Fund (GPIF),Japan,not named in source,,2022,manager press release,No,,,,,,https://www.gpif.go.jp/investment/private_equity20220112.html,2026-09-19
Alternative Investment Capital Limited (AIC),Mitsubishi Corporation,Japan,"AIC Asia Opportunity Fund, L.P.",,2011,manager press release,No,,,,,,https://www.dbj.jp/topics/dbj_news/2011/html/0000006809.html,2026-09-19
Alternative Investment Capital Limited (AIC),Pension Fund Association (Kosei Nenkin Kikin Rengokai),Japan,AIC Asia Opportunity Fund,,,trade press,Yes,"Pension Fund Association (PFA, Kosei Nenkin Kikin Rengokai)",2,4,Shuzo Takahashi ; Taro Morimoto ; Daisuke Hamaguchi,not found - PFA screens managers itself through its published Manager Entry System rather than through a named external gatekeeper,https://www.privateequityinternational.com/institution-profiles/pension-fund-association-japan.html,2026-09-19
Alternative Investment Capital Limited (AIC),Sumitomo Mitsui Banking Corporation,Japan,"AIC Asia Opportunity Fund, L.P.",,2011,manager press release,No,,,,,,https://www.dbj.jp/topics/dbj_news/2011/html/0000006809.html,2026-09-19
Alternative Investment Capital Limited (AIC),Sumitomo Mitsui Banking Corporation,Japan,AIC Rising Stars Japan 1 Investment Limited Partnership,,2025,manager press release,No,,,,,,https://www.smfg.co.jp/news/pdf/j20250312_01.pdf,2026-09-19
Asia Alternatives Management LLC,British Columbia Investment Management Corporation,Canada,not named in source,,,public holdings schedule,Yes,British Columbia Investment Management Corporation,3,2,,Not applicable — BCI invests in-house.,https://www.bci.ca/investments-performance/portfolio/private-equity/our-portfolio/,2026-09-19
Asia Alternatives Management LLC,Cathay Life Insurance Co.,Taiwan,not named in source,,2022,manager press release,Yes,"Cathay Life Insurance Co., Ltd.",2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Comprehensive Financial Management,United States,not named in source,,2022,manager press release,Yes,Comprehensive Financial Management,1,5,,Not applicable — CFM is itself the allocator.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Intermountain Healthcare,United States,not named in source,,2022,manager press release,Yes,Intermountain Healthcare Pension Plan,1,5,,Not public.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Jasper Ridge Partners,United States,not named in source,,2022,manager press release,Yes,Jasper Ridge Partners,2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Maryland State Retirement and Pension System,United States,not named in source,,2022,manager press release,Yes,Maryland State Retirement and Pension System,2,4,,Not confirmed from a primary source in this pass.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Maryland State Retirement and Pension System,United States,"MD Asia Investors, MD Asia Investors II, MD Asia Investors III and MD Asia Investors IV",,,public holdings schedule,Yes,Maryland State Retirement and Pension System,2,4,,Not confirmed from a primary source in this pass.,https://sra.maryland.gov/wp-content/uploads/2026/01/3-investment.pdf,2026-09-19
Asia Alternatives Management LLC,Massachusetts Mutual Life Insurance Company,United States,not named in source,,2022,manager press release,Yes,Massachusetts Mutual Life Insurance Company (MassMutual),2,4,,Not public.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Massachusetts Mutual Life Insurance Company,United States,"MassMutual Asia Alternatives Co-Investment, LP",,2020,SEC Form D,Yes,Massachusetts Mutual Life Insurance Company (MassMutual),2,4,,Not public.,https://efts.sec.gov/LATEST/search-index?q=%22Asia%20Alternatives%22&forms=D,2026-09-19
Asia Alternatives Management LLC,McKnight Foundation,United States,not named in source,,2022,manager press release,Yes,McKnight Foundation,2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Minnesota State Board of Investment,United States,"MN Asia Investors, LP",300.0,2020,public holdings schedule,Yes,Minnesota State Board of Investment (SBI),1,5,,Investment Advisory Council,https://www.msbi.us/sites/default/files/2026-09/sbi_private_markets_asset_listing_6.30.2026.pdf,2026-09-19
Asia Alternatives Management LLC,Minnesota State Board of Investment,United States,Asia Alternatives Capital Partners V,99.0,2017,public holdings schedule,Yes,Minnesota State Board of Investment (SBI),1,5,,Investment Advisory Council,https://www.msbi.us/sites/default/files/2026-09/sbi_private_markets_asset_listing_6.30.2026.pdf,2026-09-19
Asia Alternatives Management LLC,New Jersey Division of Investment,United States,New Jersey Asia Investors III,300.0,2016,board or committee minutes,Yes,New Jersey Division of Investment,1,5,,Aksia LLC,https://www.nj.gov/treasury/doinvest/pdf/AlternativeInvestments/PrivateEquity/NJAIIII.pdf,2026-09-19
Asia Alternatives Management LLC,New Jersey Division of Investment,United States,Separate Account with Asia Alternatives (up to $100m plus recycling to $600m),100.0,2020,board or committee minutes,Yes,New Jersey Division of Investment,1,5,,Aksia LLC,https://www.nj.gov/treasury/doinvest/pdf/AlternativeInvestments/PrivateEquity/AgendaItem9c-AsiaAlternatives.pdf,2026-09-19
Asia Alternatives Management LLC,New Jersey Division of Investment,United States,"New Jersey Asia Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",100.0,,public holdings schedule,Yes,New Jersey Division of Investment,1,5,,Aksia LLC,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New Jersey Division of Investment,United States,"New Jersey Asia Investors II, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",200.0,,public holdings schedule,Yes,New Jersey Division of Investment,1,5,,Aksia LLC,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New Jersey Division of Investment,United States,"New Jersey Asia Investors Evergreen, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",100.0,,public holdings schedule,Yes,New Jersey Division of Investment,1,5,,Aksia LLC,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New Mexico State Investment Council,United States,"New Mexico Asia Investors, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",25.0,,public holdings schedule,Yes,New Mexico State Investment Council (NMSIC),1,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Co-Investment Pool Asia Investors IV, L.P.",190.0,2021,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://web.archive.org/web/2023/https://www.osc.ny.gov/files/common-retirement-fund/resources/pdf/november-2021.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Balanced Pool Asia Investors II, L.P.",200.0,2015,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://web.archive.org/web/2023/https://www.osc.ny.gov/files/common-retirement-fund/2017-11/report-2015-02.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Co-Investment Pool Asia Investors II, L.P.",150.0,2015,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://web.archive.org/web/2023/https://www.osc.ny.gov/files/common-retirement-fund/2017-11/report-2015-02.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Balanced Pool Asia Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",75.0,,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Balanced Pool Asia Investors III, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",200.0,,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Balanced Pool Asia Investors IV, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",210.0,,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Co-Investment Pool Asia Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",125.0,,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,New York State Common Retirement Fund,United States,"New York Co-Investment Pool Asia Investors III, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",300.0,,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Ontario Municipal Employees Retirement System,Canada,"OMERS/AACP Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",25.0,,public holdings schedule,No,,,,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Ontario Municipal Employees Retirement System,Canada,"OMERS/AACP Investors II, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",29.4,,public holdings schedule,No,,,,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,not named in source,,2017,manager press release,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-over-us18-billion-300519121.html,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Penn Asia Investors,133.0,2012,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Asia Alternatives Capital Partners,25.0,2007,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Asia Alternatives Capital Partners II,29.9,2008,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Asia Alternatives Capital Partners III,50.0,2012,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Asia Alternatives Korea Buyout Investors (Hahn & Co),7.0,2011,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Pennsylvania State Employees' Retirement System,United States,Asia Alternatives Capital Partners V,50.0,2017,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,2026-09-19
Asia Alternatives Management LLC,Public Schools Retirement System of St. Louis,United States,not named in source,,2022,manager press release,Yes,Public Schools Retirement System of the City of St. Louis,2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,San Francisco City and County Employees' Retirement System,United States,not named in source,,2022,manager press release,Yes,San Francisco Employees' Retirement System (SFERS),2,3,,"Cambridge Associates, Aksia",https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,San Francisco City and County Employees' Retirement System,United States,"San Francisco Asia Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",794.9,,public holdings schedule,Yes,San Francisco Employees' Retirement System (SFERS),2,3,,"Cambridge Associates, Aksia",https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,State Board of Administration of Florida,United States,not named in source,,2022,manager press release,Yes,Florida State Board of Administration (Florida SBA),2,3,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,State Board of Administration of Florida,United States,"Asia Alternatives FL Investor, L.P., Asia Alternatives FL Investor II, LLC, Asia Alternatives FL Investor III, LLC and Asia Alternatives FL Investor IV, LLC",,,public holdings schedule,Yes,Florida State Board of Administration (Florida SBA),2,3,,,https://web.archive.org/web/2026/https://www.sbafla.com/media/ucznhyvg/2024-2025-air-final.pdf,2026-09-19
Asia Alternatives Management LLC,Teachers' Retirement System of the State of Illinois,United States,not named in source,,2015,manager press release,Yes,Teachers' Retirement System of the State of Illinois (TRS Illinois),2,4,,StepStone Group,http://www.asiaalt.com/wp-content/uploads/pdf/US_English_AACP_IV_release_FINAL_POSTED.pdf,2026-09-19
Asia Alternatives Management LLC,Teachers' Retirement System of the State of Illinois,United States,"IL Asia Investors, L.P.",,,public holdings schedule,Yes,Teachers' Retirement System of the State of Illinois (TRS Illinois),2,4,,StepStone Group,https://www.trsil.org/sites/default/files/documents/ACFR-FY24-web_0.pdf,2026-09-19
Asia Alternatives Management LLC,The Boeing Company,United States,not named in source,,2022,manager press release,Yes,Boeing Company Pension Fund,1,5,,Not public.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,"The Dai-ichi Life Insurance Company, Limited",Japan,not named in source,,2022,manager press release,Yes,Dai-ichi Life Insurance,2,4,,Not public.,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,University of Missouri,United States,not named in source,,2015,manager press release,Yes,University of Missouri,2,4,,,http://www.asiaalt.com/wp-content/uploads/pdf/US_English_AACP_IV_release_FINAL_POSTED.pdf,2026-09-19
Asia Alternatives Management LLC,University of Vermont and State Agricultural College,United States,not named in source,,2017,manager press release,Yes,University of Vermont and State Agricultural College,2,4,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-over-us18-billion-300519121.html,2026-09-19
Asia Alternatives Management LLC,Versorgungswerk der Landesaerztekammer Hessen,Germany,"Hessen Doctors Asia Investors, L.P.. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",285.0,,public holdings schedule,No,,,,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Virginia Retirement System,United States,not named in source,,2022,manager press release,Yes,Virginia Retirement System (VRS),2,5,,,https://www.prnewswire.com/news-releases/asia-alternatives-announces-fund-closings-of-us2-billion-301467839.html,2026-09-19
Asia Alternatives Management LLC,Virginia Retirement System,United States,"Virginia Asia Investors, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",161.1,,public holdings schedule,Yes,Virginia Retirement System (VRS),2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Virginia Retirement System,United States,"Virginia Asia Investors II, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",219.0,,public holdings schedule,Yes,Virginia Retirement System (VRS),2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Asia Alternatives Management LLC,Virginia Retirement System,United States,"Virginia Asia Investors III, LP. Evidence is the manager's own Form ADV Schedule D private-fund list filed 2026-07-29, not a disclosure by the investor. The amount shown is the ADV minimum investment commitment field for a vehicle the ADV reports as having 2 beneficial owners.",216.0,,public holdings schedule,Yes,Virginia Retirement System (VRS),2,5,,,https://reports.adviserinfo.sec.gov/reports/ADV/141481/PDF/141481.pdf,2026-09-19
Axiom Asia Private Capital,Alfred I. duPont Testamentary Trust,US,not named in source,,,Preqin or Dakota,Yes,Alfred I. duPont Testamentary Trust,3,2,,Not public.,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Allstate Investments,US,not named in source,,,Preqin or Dakota,Yes,Allstate Investments,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Art Institute of Chicago Endowment,US,not named in source,,,Preqin or Dakota,Yes,Art Institute of Chicago Endowment,2,4,,Not public.,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Bethesda,US,not named in source,,,Preqin or Dakota,Yes,Bethesda,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Caledonia Investments plc,UK,not named in source,,2012,public holdings schedule,Yes,Caledonia Investments,2,3,,,https://www.caledonia.com/portfolio/funds/,2026-09-19
Axiom Asia Private Capital,Caledonia Investments plc,UK,not named in source,,,annual report,Yes,Caledonia Investments,2,3,,,https://www.caledonia.com/documents/factsheet-september-2025/,2026-09-19
Axiom Asia Private Capital,Caledonia Investments plc,UK,"Axiom Asia IV, L.P.",,2016,trade press,Yes,Caledonia Investments,2,3,,,https://www.avcj.com/avcj/news/3013096/axiom-asia-completes-usd16b-fundraise,2026-09-19
Axiom Asia Private Capital,Carnegie Mellon University Endowment Fund,US,not named in source,,,Preqin or Dakota,Yes,Carnegie Mellon University Endowment Fund,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Carroll Petrie Foundation,US,Axiom Asia 5,4.22,2023,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_02A.zip (IRS e-file return 202510349349100971_public.xml, Carroll Petrie Foundation Form 990-PF, tax year 2023, period ended 2023-12-31)",2026-09-19
Axiom Asia Private Capital,Carroll Petrie Foundation,US,Axiom Asia 6,2.88,2023,public holdings schedule,No,,,,,,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_02A.zip (IRS e-file return 202510349349100971_public.xml, Carroll Petrie Foundation Form 990-PF, tax year 2023, period ended 2023-12-31)",2026-09-19
Axiom Asia Private Capital,Case Western Reserve University Endowment,US,not named in source,,,Preqin or Dakota,Yes,Case Western Reserve University Endowment,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Casey Family Programs,US,not named in source,,,Preqin or Dakota,Yes,Casey Family Programs,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
